"Reference","Value","Qty"
"C1,C3,C4,C5,C8,C9,C10,C11,C12,C101,C102,C103,C104,C106,C108,C109,C111,C112,C113,C116,C201,C202,C203,C204,C206,C208,C209,C211,C212,C213,C216","C1005X5R1V105K050BC","31"
"C2,C6,C7,C114,C214","CL10X106MO8NRNC","5"
"C105,C205","04023JR05ZBSTR\500","2"
"C107,C110,C115,C207,C210,C215","VJ0402A100FXACW1BC","6"
"D1","CUHS20S60,H3F","1"
"D2","LTST-C281KRKT","1"
"D3","0402ESDA-MLP1","1"
"D101","VSMY1940X01","1"
"D102,D202","1SS193,LF","2"
"D201","VLMY1301-GS08","1"
"IC1","AP7375-50FDCW-7","1"
"IC2","TC682COA","1"
"IC3,IC5,IC106,IC206","AP7347EQ-FDCW-7R","4"
"IC4","NTS0302JKZ","1"
"IC101,IC201","MAX13488EESA+","2"
"IC102","LTC6269IMS8E-10#PBF","1"
"IC103,IC203","TLR728G-LBTR","2"
"IC104,IC204","LTC6752IS5#TRMPBF","2"
"IC105,IC205","SN74CBT1G125DCKR","2"
"PD101","VEMD5110X01","1"
"PD102","VEMD6110X01","1"
"PD103","VEMD4110X01","1"
"PD201","SFH 2240 A01","1"
"PD202","SFH 2713","1"
"PD203","SFH 2711 A01","1"
"Q101,Q201","DMP21D6UFD-7","2"
"Q102,Q202","DMN3066LVTQ-7","2"
"R1,R2","MCS0402MC1002FE000","2"
"R3,R4,R108,R117,R208,R217","MCS04020D1200BE000","6"
"R5,R7","ERA-2AEB393X","2"
"R6,R8,R9","ERA-2AEB8252X","3"
"R101,R103,R201,R203","MCS04020C1004FE000","4"
"R102,R107,R113,R115,R116,R202,R207,R213,R215,R216","MCS04020D4992BE000","10"
"R104,R105,R111,R204,R205,R211","CRCW06031R00FKEAHP","6"
"R106,R109,R112,R206,R209,R212","MCS04020C5601FE000","6"
"R110,R210","CRCW060310R0FKEAHP","2"
"R114","RT0402BRD0744K2L","1"
"R214","ERA-2AEB9312X","1"
"R301,R302","MCS04020Z0000ZEF00","2"
"R303,R304","MCS04020C4993FE000","2"
"R305,R306","MCS04020C2703FE000","2"
"R307,R308,R309","ERA-2AEB60R4X","3"
"RV101,RV201","PVG5A204C03R00","2"
